date,temperature,rainfall,humidity
01-01-2010,26.16556187,7.950842197,84.25412288
02-01-2010,25.06768751,9.444571969,81.52452261
03-01-2010,26.81157375,10.99709719,78.06153414
04-01-2010,28.73408398,8.99883409,85.89592706
05-01-2010,25.39134124,9.070140133,76.06432016
06-01-2010,25.56274306,8.85313573,83.84443954
07-01-2010,29.36050608,8.699454639,77.93146365
08-01-2010,27.90765718,9.980838959,71.74745591
09-01-2010,25.60413943,7.327942618,85.92402776
10-01-2010,27.79805153,11.52933044,81.44505439
11-01-2010,25.95543171,8.642514183,75.68918157
12-01-2010,26.11958549,10.75485429,79.72810125
13-01-2010,27.70313967,7.796968191,73.86691752
14-01-2010,23.56016717,10.73380001,79.81966241
15-01-2010,24.10369729,10.76562869,63.50236244
16-01-2010,26.59500652,10.35977704,70.13800615
17-01-2010,25.85916209,8.316175858,79.90805404
18-01-2010,28.67770691,10.20506097,73.53377183
19-01-2010,26.39664847,8.077643004,75.58567495
20-01-2010,25.55062159,9.493133173,67.57563824
21-01-2010,31.46805876,11.43500472,83.30626438
22-01-2010,28.24569283,11.1030957,79.77277213
23-01-2010,28.99169047,9.946520601,72.56579713
24-01-2010,26.16538352,8.475780691,71.2908224
25-01-2010,28.08317058,10.91915326,78.20345663
26-01-2010,29.5496011,9.991157659,82.70505161
27-01-2010,27.18030626,6.491456146,77.29497442
28-01-2010,30.38689875,11.15424473,83.11494848
29-01-2010,28.58606102,9.950845423,67.37030881
30-01-2010,29.354368,11.79628841,67.60771107
31-01-2010,28.88329621,8.353643211,65.47905105
01-02-2010,33.93871244,5.233950132,73.34828621
02-02-2010,30.35305727,10.41860719,71.72992616
03-02-2010,28.40893127,10.43682086,69.80136259
04-02-2010,32.31210739,7.461480402,74.31349166
05-02-2010,28.36631543,8.526270156,76.13187946
06-02-2010,31.36499406,14.12189789,62.04200791
07-02-2010,27.16542845,9.524228775,66.38267781
08-02-2010,28.56409539,11.07118012,73.16269811
09-02-2010,31.74804548,8.989374754,66.41504365
10-02-2010,32.96322877,6.81906164,64.4518697
11-02-2010,31.95908274,9.68681198,73.22224842
12-02-2010,31.51313962,9.530011393,61.36631316
13-02-2010,31.26832028,9.313359361,65.9878513
14-02-2010,29.03753929,9.724518071,68.81868615
15-02-2010,30.67687781,10.27473341,63.98395588
16-02-2010,31.31516284,9.633561689,70.44439245
17-02-2010,34.46841468,7.941694234,63.35785345
18-02-2010,33.15695746,10.54451353,72.91712209
19-02-2010,29.05697777,6.867284702,64.91533884
20-02-2010,33.34231621,6.690492366,68.56882388
21-02-2010,32.03279395,10.84807323,68.60945126
22-02-2010,31.55561257,10.47170248,61.40704393
23-02-2010,34.23696346,9.595552587,53.94137695
24-02-2010,35.17738964,7.557559165,65.67540705
25-02-2010,35.07732577,8.556573687,63.89474134
26-02-2010,31.63327122,9.190659608,65.97305409
27-02-2010,32.7877593,7.15591984,61.72096451
28-02-2010,34.16069778,8.404850676,60.3602957
01-03-2010,35.53872984,10.45418463,72.2128871
02-03-2010,32.71621507,11.57761638,54.4661964
03-03-2010,33.3875991,8.767160734,65.15462211
04-03-2010,31.62800515,10.48939721,58.26832343
05-03-2010,31.52740022,6.440635999,59.11856444
06-03-2010,35.62136034,10.25668674,58.86783186
07-03-2010,36.78261819,8.016106473,56.09192882
08-03-2010,33.99725964,9.636315659,62.62094307
09-03-2010,36.21677867,8.755699515,66.37383152
10-03-2010,34.99868889,11.05875705,61.42664506
11-03-2010,33.04813278,7.716082014,59.24972357
12-03-2010,35.12135179,9.91755088,53.45722343
13-03-2010,37.53203701,8.50410797,60.63064183
14-03-2010,34.43891308,8.6319761,68.4859321
15-03-2010,37.69163558,8.538572032,55.45905956
16-03-2010,29.37180763,7.489631495,55.14174507
17-03-2010,36.30120439,8.679667364,53.87623013
18-03-2010,34.87473335,8.54842151,53.89560073
19-03-2010,34.14298985,8.944752926,42.27825399
20-03-2010,34.96200497,8.649087293,57.69319243
21-03-2010,30.83792687,9.657714679,51.10480202
22-03-2010,34.40539439,9.783353571,46.94717777
23-03-2010,35.58771957,6.758516529,58.43185563
24-03-2010,37.85511304,9.572983058,48.92481007
25-03-2010,33.88568166,6.424723542,52.31222555
26-03-2010,33.32519186,9.019466408,61.01023086
27-03-2010,33.95567587,8.999815383,46.30626135
28-03-2010,36.80405397,5.134846731,45.36564045
29-03-2010,35.64185643,8.072016295,54.05351961
30-03-2010,33.9329797,7.159659635,58.13494361
31-03-2010,36.02421989,6.653264106,44.19857206
01-04-2010,35.1940625,9.745871522,53.79385295
02-04-2010,36.93645657,6.666449473,54.34796863
03-04-2010,33.59135662,6.363993595,40.83727081
04-04-2010,34.33347286,7.612929602,54.81830968
05-04-2010,34.1949553,8.452859392,54.90428066
06-04-2010,32.03955912,7.136371051,48.66058043
07-04-2010,35.54329367,9.022072892,56.18239531
08-04-2010,35.45467904,7.991980314,55.3070833
09-04-2010,34.92136755,3.850549011,49.84761137
10-04-2010,34.41760164,6.245387144,46.78517227
11-04-2010,32.02874002,6.117941666,43.8918842
12-04-2010,33.98797487,7.600282472,48.2851624
13-04-2010,34.11070788,2.863994231,51.04214653
14-04-2010,33.15555097,10.54417941,46.29633817
15-04-2010,34.39861054,7.436139156,36.65716839
16-04-2010,35.48747954,6.781364534,53.71935497
17-04-2010,38.40707729,8.248388534,48.06175452
18-04-2010,34.9363338,9.909068288,44.95118824
19-04-2010,35.05191075,7.616844476,50.87767181
20-04-2010,34.33472397,7.650693057,53.9616151
21-04-2010,30.590069,6.339893626,32.07945475
22-04-2010,34.31578571,5.847616186,48.01504345
23-04-2010,34.42769973,5.261943804,38.46938656
24-04-2010,39.16939145,4.651912035,47.86135882
25-04-2010,33.79111433,4.775737878,45.77295239
26-04-2010,34.70914099,3.695365175,48.08386442
27-04-2010,33.96413448,5.522118332,42.18538203
28-04-2010,31.62103683,3.023462091,35.09634703
29-04-2010,36.16621886,5.751213077,41.99623819
30-04-2010,35.30398811,5.324579471,46.07251653
01-05-2010,35.29912708,5.513603095,48.910169
02-05-2010,31.81264637,4.424040675,37.77377042
03-05-2010,36.34881032,9.736505059,48.57279855
